Country Code,Year,Series Name,Series Code,Value
ARG,2022,Classification of national industry,SPI.D5.2.3.CNIN,0.5
ARG,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
ARG,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ARG,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
ARG,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,130.61655
ARG,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,10.0798767
ARG,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
ARG,2023,Classification of national industry,SPI.D5.2.3.CNIN,0.5
ARG,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
ARG,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ARG,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ARG,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,296.2580417
ARM,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.33704429
ARM,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
ARM,2021,Classification of national industry,SPI.D5.2.3.CNIN,1
ARM,2021,Classification of status of employment,SPI.D5.2.6.EMPL,1
ARM,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5
ARM,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ARM,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,503.769675
ARM,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,2.46462003
ARM,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
ARM,2022,Classification of national industry,SPI.D5.2.3.CNIN,1
ARM,2022,Classification of status of employment,SPI.D5.2.6.EMPL,1
ARM,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5
ARM,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ARM,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,435.6661797
ARM,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,3.660661589
ARM,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
ARM,2023,Classification of national industry,SPI.D5.2.3.CNIN,1
ARM,2023,Classification of status of employment,SPI.D5.2.6.EMPL,1
ARM,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0.5
ARM,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ARM,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,392.4763022
ASM,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
ASM,2021,Classification of household consumption,SPI.D5.2.5.HOUS,0
ASM,2021,Classification of national industry,SPI.D5.2.3.CNIN,0
ASM,2021,Classification of status of employment,SPI.D5.2.6.EMPL,0
ASM,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ASM,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
ASM,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1
ASM,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
ASM,2022,Classification of household consumption,SPI.D5.2.5.HOUS,0
ASM,2022,Classification of national industry,SPI.D5.2.3.CNIN,0
ASM,2022,Classification of status of employment,SPI.D5.2.6.EMPL,0
ASM,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ASM,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
ASM,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1
ASM,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,0
ASM,2023,Classification of household consumption,SPI.D5.2.5.HOUS,0
ASM,2023,Classification of national industry,SPI.D5.2.3.CNIN,0
ASM,2023,Classification of status of employment,SPI.D5.2.6.EMPL,0
ASM,2023,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ASM,2023,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,0
ASM,2023,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1
ATG,2021,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,4.044950441
ATG,2021,Classification of household consumption,SPI.D5.2.5.HOUS,1
ATG,2021,Classification of national industry,SPI.D5.2.3.CNIN,0.5
ATG,2021,Classification of status of employment,SPI.D5.2.6.EMPL,0
ATG,2021,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ATG,2021,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ATG,2021,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7
ATG,2022,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,3.921489869
ATG,2022,Classification of household consumption,SPI.D5.2.5.HOUS,1
ATG,2022,Classification of national industry,SPI.D5.2.3.CNIN,0.5
ATG,2022,Classification of status of employment,SPI.D5.2.6.EMPL,0
ATG,2022,Compilation of government finance statistics,SPI.D5.2.8.FINA,0
ATG,2022,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1
ATG,2022,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2.7
ATG,2023,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,4.409932182
ATG,2023,Classification of household consumption,SPI.D5.2.5.HOUS,1
ATG,2023,Classification of national industry,SPI.D5.2.3.CNIN,0.5
ATG,2023,Classification of status of employment,SPI.D5.2.6.EMPL,0
