Country Code,Year,Series Name,Series Code,Value
ARM,2022,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.490670888
ARM,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
ARM,2023,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0.0452
ARM,2023,Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),EN.GHG.CO2.TR.MT.CE.AR5,2.4744
ARM,2023,Carbon dioxide (CO2) emissions from Waste (Mt CO2e),EN.GHG.CO2.WA.MT.CE.AR5,0
ARM,2023,Forest area (% of land area),AG.LND.FRST.ZS,0
ARM,2023,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,0
ARM,2023,Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.ALL.PC.CE.AR5,3.62309004
ASM,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,0
ASM,2021,Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),EN.GHG.CO2.AG.MT.CE.AR5,0
