Country Code,Year,Series Name,Series Code,Value
AFW,2021,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.331765514
AFW,2021,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,2682011635
AFW,2021,GDP (current US$),NY.GDP.MKTP.CD,8.49312E+11
AFW,2021,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.037629514
AFW,2021,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,0
AFW,2021,Gini index,SI.POV.GINI,0
AFW,2021,Gross national expenditure (current US$),NE.DAB.TOTL.CD,0
AFW,2021,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,3.74570045
AFW,2021,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,4.64220371
AFW,2021,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0
AFW,2021,Military expenditure (current USD),MS.MIL.XPND.CD,9697805758
AFW,2021,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
AFW,2021,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
AFW,2021,Trade (% of GDP),NE.TRD.GNFS.ZS,0
AFW,2021,Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,8.73184176
AFW,2022,"Foreign direct investment, net (BoP, current US$)",BN.KLT.DINV.CD,0
AFW,2022,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,1.204459452
AFW,2022,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,10222895719
AFW,2022,"Foreign direct investment, net outflows (% of GDP)",BM.KLT.DINV.WD.GD.ZS,0.043900056
AFW,2022,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,369478104.2
AFW,2022,GDP (current US$),NY.GDP.MKTP.CD,8.83974E+11
AFW,2022,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.789679846
AFW,2022,General government final consumption expenditure (current US$),NE.CON.GOVT.CD,0
AFW,2022,Gini index,SI.POV.GINI,0
AFW,2022,Gross national expenditure (current US$),NE.DAB.TOTL.CD,0
AFW,2022,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,7.949251435
AFW,2022,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,6.587122568
AFW,2022,"Inflation, GDP deflator: linked series (annual %)",NY.GDP.DEFL.KD.ZG.AD,0
AFW,2022,Military expenditure (current USD),MS.MIL.XPND.CD,8472733651
AFW,2022,"Net trade in goods (BoP, current US$)",BN.GSR.MRCH.CD,0
AFW,2022,"Net trade in goods and services (BoP, current US$)",BN.GSR.GNFS.CD,0
AFW,2022,Trade (% of GDP),NE.TRD.GNFS.ZS,0
