country_code,year,BroadMoney_Ratio,Classification_HouseholdConsumption,Classification_NationalIndustry,Classification_StatusofEmployment,GovernmentFinance_Stats,MonetaryandFinancial_Stats,OfficialExchangeRate,country_name,region
GMB,2021,1.759675922,1.0,0.5,1.0,0.0,1.0,51.48444388,"Gambia, The",Sub-Saharan Africa
GMB,2022,2.076344796,1.0,0.5,1.0,0.0,1.0,54.92346736,"Gambia, The",Sub-Saharan Africa
GMB,2023,2.00429095,1.0,0.5,1.0,0.0,1.0,61.09633301,"Gambia, The",Sub-Saharan Africa
GRD,2021,3.067808992,1.0,0.5,0.0,0.0,1.0,2.7,Grenada,Latin America and the Caribbean
GRD,2022,3.157935917,1.0,0.5,0.0,0.0,1.0,2.7,Grenada,Latin America and the Caribbean
GRD,2023,2.944595269,1.0,0.5,1.0,0.0,1.0,2.7,Grenada,Latin America and the Caribbean
HND,2021,2.416226551,1.0,0.5,0.0,0.0,1.0,24.01665532,Honduras,Latin America and the Caribbean
HND,2022,2.74992292,1.0,0.5,0.0,0.0,1.0,24.48587373,Honduras,Latin America and the Caribbean
HND,2023,3.399923178,1.0,0.5,1.0,0.0,1.0,24.60164682,Honduras,Latin America and the Caribbean
HTI,2021,2.679513986,1.0,0.5,0.0,0.0,1.0,89.22663651,Haiti,Latin America and the Caribbean
HTI,2022,3.019783333,1.0,0.5,0.0,0.0,1.0,115.6307155,Haiti,Latin America and the Caribbean
HTI,2023,1.741284475,1.0,0.5,1.0,0.0,1.0,141.0359127,Haiti,Latin America and the Caribbean
IRN,2021,0.0,1.0,0.5,1.0,0.0,0.0,2922.13593225,"Iran, Islamic Rep.",Middle East and North Africa
IRN,2022,0.0,1.0,0.5,1.0,0.0,0.0,2922.13593225,"Iran, Islamic Rep.",Middle East and North Africa
IRN,2023,0.0,1.0,0.5,1.0,0.0,0.0,2922.13593225,"Iran, Islamic Rep.",Middle East and North Africa
JAM,2021,2.196173617,1.0,0.5,1.0,0.0,1.0,150.7901059,Jamaica,Latin America and the Caribbean
JAM,2022,2.506654675,1.0,0.5,1.0,0.0,1.0,153.4268165,Jamaica,Latin America and the Caribbean
JAM,2023,2.591034008,1.0,0.5,1.0,0.0,1.0,154.158779,Jamaica,Latin America and the Caribbean
KIR,2021,0.0,1.0,0.5,0.0,0.0,0.0,1.33122426,Kiribati,East Asia and Pacific
KIR,2022,0.0,1.0,0.5,0.0,0.0,0.0,1.441664459,Kiribati,East Asia and Pacific
KIR,2023,0.0,1.0,0.5,1.0,0.0,0.0,1.505191066,Kiribati,East Asia and Pacific
KNA,2021,3.310636128,1.0,0.5,0.0,0.0,1.0,2.7,St. Kitts and Nevis,Latin America and the Caribbean
KNA,2022,3.943256481,1.0,0.5,0.0,0.0,1.0,2.7,St. Kitts and Nevis,Latin America and the Caribbean
KNA,2023,3.977089031,1.0,0.5,0.0,0.0,1.0,2.7,St. Kitts and Nevis,Latin America and the Caribbean
LBY,2021,0.275762317,0.0,0.5,0.0,0.0,0.0,4.514425,Libya,Middle East and North Africa
LBY,2022,0.0,0.0,0.5,0.0,0.0,0.0,4.813175,Libya,Middle East and North Africa
LBY,2023,0.0,1.0,0.5,0.0,0.0,0.0,4.812883333,Libya,Middle East and North Africa
LCA,2021,3.06690392,1.0,0.5,1.0,0.0,1.0,2.7,St. Lucia,Latin America and the Caribbean
LCA,2022,3.552430934,1.0,0.5,1.0,0.0,1.0,2.7,St. Lucia,Latin America and the Caribbean
LCA,2023,3.615014645,1.0,0.5,1.0,0.0,1.0,2.7,St. Lucia,Latin America and the Caribbean
MAR,2021,4.870951222,1.0,0.5,1.0,0.0,1.0,8.988484024,Morocco,Middle East and North Africa
MAR,2022,5.132165107,1.0,0.5,1.0,0.0,1.0,10.16066024,Morocco,Middle East and North Africa
MAR,2023,4.756239321,1.0,0.5,1.0,0.0,1.0,10.1314261,Morocco,Middle East and North Africa
MLI,2021,0.0,1.0,0.5,1.0,0.0,1.0,554.530675,Mali,Sub-Saharan Africa
MLI,2022,0.0,1.0,0.5,1.0,0.0,1.0,623.7597009,Mali,Sub-Saharan Africa
MLI,2023,0.0,1.0,0.5,1.0,0.0,1.0,606.5697502,Mali,Sub-Saharan Africa
MNG,2021,2.232606852,1.0,0.5,1.0,0.0,1.0,2849.288615,Mongolia,East Asia and Pacific
MNG,2022,2.779304764,1.0,0.5,1.0,0.0,1.0,2922.13593225,Mongolia,East Asia and Pacific
MNG,2023,2.268501452,1.0,0.5,1.0,0.0,1.0,2922.13593225,Mongolia,East Asia and Pacific
MOZ,2021,2.402499682,1.0,0.5,1.0,0.0,1.0,65.465,Mozambique,Sub-Saharan Africa
MOZ,2022,3.445922931,1.0,0.5,1.0,0.0,1.0,63.85083333,Mozambique,Sub-Saharan Africa
MOZ,2023,2.881492355,1.0,0.5,1.0,0.0,1.0,63.88583333,Mozambique,Sub-Saharan Africa
MWI,2021,0.0,1.0,0.5,1.0,0.0,0.0,805.8996501,Malawi,Sub-Saharan Africa
MWI,2022,0.0,1.0,0.5,1.0,0.0,0.0,949.0390167,Malawi,Sub-Saharan Africa
MWI,2023,0.0,1.0,0.5,1.0,0.0,0.0,1161.094367,Malawi,Sub-Saharan Africa
NAM,2021,3.258008784,1.0,0.5,1.0,0.0,1.0,14.778675,Namibia,Sub-Saharan Africa
NAM,2022,0.0,1.0,0.5,1.0,0.0,1.0,16.35585833,Namibia,Sub-Saharan Africa
NAM,2023,0.0,1.0,0.5,1.0,0.0,1.0,18.44630833,Namibia,Sub-Saharan Africa
NIC,2021,1.390970227,1.0,0.5,1.0,0.0,1.0,35.17101667,Nicaragua,Latin America and the Caribbean
NIC,2022,1.394868496,1.0,0.5,1.0,0.0,1.0,35.87442114,Nicaragua,Latin America and the Caribbean
NIC,2023,0.0,1.0,0.5,1.0,0.0,1.0,36.44119428,Nicaragua,Latin America and the Caribbean
NPL,2021,4.622165045,1.0,0.5,1.0,0.0,1.0,118.1340816,Nepal,South Asia
NPL,2022,5.019873786,1.0,0.5,1.0,0.0,1.0,125.1994578,Nepal,South Asia
NPL,2023,3.966944917,1.0,0.5,1.0,0.0,1.0,132.1154601,Nepal,South Asia
OMN,2021,0.0,1.0,0.5,1.0,0.0,1.0,0.3845,Oman,Middle East and North Africa
OMN,2022,0.0,1.0,0.5,1.0,0.0,1.0,0.3845,Oman,Middle East and North Africa
OMN,2023,0.0,1.0,0.5,1.0,0.0,1.0,0.3845,Oman,Middle East and North Africa
PAN,2021,0.0,1.0,0.5,1.0,0.0,1.0,1.0,Panama,Latin America and the Caribbean
PAN,2022,0.0,1.0,0.5,1.0,0.0,1.0,1.0,Panama,Latin America and the Caribbean
PAN,2023,0.0,1.0,0.5,1.0,0.0,1.0,1.0,Panama,Latin America and the Caribbean
PHL,2021,3.274572607,1.0,0.5,1.0,0.0,1.0,49.25459773,Philippines,East Asia and Pacific
PHL,2022,3.614750346,1.0,0.5,1.0,0.0,1.0,54.47778584,Philippines,East Asia and Pacific
SLB,2021,0.990418989,1.0,0.5,1.0,0.0,1.0,8.030102991,Solomon Islands,East Asia and Pacific
SLB,2022,1.07758753,1.0,0.5,1.0,0.0,1.0,8.155528698,Solomon Islands,East Asia and Pacific
